relationship_id,person_a,person_b,relationship_type,documented
R001,P012,P027,family,True
R002,P010,P030,family,True
R003,P021,P034,family,True
R004,P018,P032,family,True
R005,P026,P006,family,True
R006,P008,P016,family,True
R007,P029,P042,family,True
R008,P001,P003,employer_employee,True
R009,P001,P030,employer_employee,True
R010,P001,P038,employer_employee,True
R011,P002,P004,employer_employee,True
R012,P002,P010,employer_employee,True
R013,P002,P035,employer_employee,True
R014,P006,P019,employer_employee,True
R015,P006,P027,employer_employee,True
R016,P008,P029,employer_employee,True
R017,P008,P031,employer_employee,True
R018,P009,P014,employer_employee,True
R019,P009,P021,employer_employee,True
R020,P009,P025,employer_employee,True
R021,P009,P033,employer_employee,True
R022,P009,P034,employer_employee,True
R023,P011,P012,employer_employee,True
R024,P011,P040,employer_employee,True
R025,P013,P023,employer_employee,True
R026,P015,P022,employer_employee,True
R027,P017,P032,employer_employee,True
R028,P028,P039,employer_employee,True
R029,P036,P037,landlord_tenant,True
R030,P034,P040,landlord_tenant,True
R031,P042,P039,landlord_tenant,True
R032,P023,P016,landlord_tenant,True
R033,P042,P003,landlord_tenant,True
R034,P016,P031,landlord_tenant,True
R035,P008,P018,landlord_tenant,True
R036,P020,P028,landlord_tenant,True
R037,P005,P014,family,True
R038,P034,P036,former_partner,False
R039,P013,P036,employer_employee,True
R040,P030,P029,lawyer_client,True
R041,P010,P031,competitor,False
R042,P021,P041,lawyer_client,True
R043,P042,P016,family,True
R044,P009,P008,service_relationship,False
R045,P028,P002,employer_employee,True
R046,P022,P008,neighbor,False
R047,P041,P026,debt,False
R048,P010,P030,service_relationship,False
R049,P019,P011,family,True
R050,P042,P034,friend,False
R051,P039,P033,competitor,False
R052,P003,P031,professor_student,True
R053,P006,P042,former_partner,False
R054,P033,P038,employer_employee,True
R055,P014,P037,family,True
R056,P002,P018,employer_employee,True
R057,P032,P013,landlord_tenant,True
R058,P042,P040,neighbor,False
R059,P013,P030,former_coworker,False
R060,P011,P002,professor_student,True
R061,P003,P035,former_coworker,False
R062,P009,P002,friend,False
R063,P037,P033,doctor_patient,True
R064,P006,P004,friend,False
R065,P008,P025,debt,False
R066,P012,P036,business_partner,True
R067,P013,P027,friend,False
R068,P002,P006,friend,False
R069,P009,P005,landlord_tenant,True
