message_id,sender_person_id,receiver_person_id,timestamp,message_type,body,deleted_flag,edited_flag,source_device
MSG00001,P016,P001,2026-02-07 13:55:51,text,meeting shift ho gayi hai,False,False,DEV-P016
MSG00002,P042,P005,2026-03-11 13:30:39,text,"Thanks, received the payment.",False,False,DEV-P042
MSG00003,P007,P017,2026-04-20 23:35:42,text,kal milte hain,False,False,DEV-P007
MSG00004,P018,P022,2026-01-25 06:40:34,text,Please send the invoice by evening.,False,False,DEV-P018
MSG00005,P009,P018,2025-11-04 10:15:18,text,See you at the office tomorrow.,False,False,DEV-P009
MSG00006,P041,P021,2026-03-15 14:20:23,text,"call me when free, nothing urgent",False,False,DEV-P041
MSG00007,P040,P034,2026-03-15 22:40:05,text,send me the file asap,False,False,DEV-P040
MSG00008,P007,P036,2026-04-06 09:35:53,text,Reminder: rent due on the 5th.,False,False,DEV-P007
MSG00009,P042,P006,2025-12-06 14:25:21,text,wo paise abhi tak nahi aaye,False,False,DEV-P042
MSG00010,P030,P009,2025-10-02 14:35:24,text,Please send the invoice by evening.,False,False,DEV-P030
MSG00011,P042,P009,2026-02-13 21:50:50,text,meeting shift ho gayi hai,False,False,DEV-P042
MSG00012,P014,P041,2026-02-13 16:10:30,text,documents leke aana mat bhoolna,False,False,DEV-P014
MSG00013,P009,P028,2026-01-31 06:00:07,text,Running 10 minutes late.,False,False,DEV-P009
MSG00014,P003,P023,2025-11-02 06:30:39,text,Running 10 minutes late.,False,False,DEV-P003
MSG00015,P022,P005,2025-10-18 15:35:53,text,mummy ko bata dena main late aaunga,False,False,DEV-P022
MSG00016,P034,P006,2025-12-28 23:45:04,text,Happy Birthday!,False,False,DEV-P034
MSG00017,P007,P034,2025-10-07 09:10:51,text,Reminder: rent due on the 5th.,False,False,DEV-P007
MSG00018,P018,P007,2026-01-23 12:30:35,text,mummy ko bata dena main late aaunga,False,False,DEV-P018
MSG00019,P037,P021,2025-10-18 22:55:37,text,See you at the office tomorrow.,False,False,DEV-P037
MSG00020,P031,P021,2025-12-13 09:00:47,text,mummy ko bata dena main late aaunga,False,False,DEV-P031
MSG00021,P022,P039,2026-04-06 12:45:07,text,"kal ka plan cancel, kuch kaam aa gaya",False,False,DEV-P022
MSG00022,P035,P014,2026-01-16 22:45:32,text,Let's catch up this weekend.,False,False,DEV-P035
MSG00023,P016,P015,2026-02-19 07:20:17,text,Please review the attached document.,False,False,DEV-P016
MSG00024,P028,P023,2025-10-31 13:15:59,text,party thoda postpone ho gayi hai,False,False,DEV-P028
MSG00025,P007,P002,2026-03-21 08:35:39,text,"office mein hi hu, baad mein baat karta hu",False,False,DEV-P007
MSG00026,P024,P011,2026-02-28 11:15:36,text,Traffic is bad near the mall today.,False,False,DEV-P024
MSG00027,P003,P001,2025-11-26 16:05:51,text,aaj thoda late ho jayega,False,False,DEV-P003
MSG00028,P010,P040,2025-09-29 16:05:18,text,Can we reschedule to 4pm?,False,False,DEV-P010
MSG00029,P007,P015,2026-03-20 15:25:10,text,send me the file asap,False,False,DEV-P007
MSG00030,P039,P004,2026-03-24 15:30:10,text,See you at the office tomorrow.,False,False,DEV-P039
MSG00031,P005,P028,2025-12-22 16:45:48,text,"ok noted, will confirm by evening",False,False,DEV-P005
MSG00032,P024,P004,2026-03-13 11:45:28,text,let's meet near the old gate,False,False,DEV-P024
MSG00033,P006,P012,2025-09-30 19:55:03,text,"ok noted, will confirm by evening",False,False,DEV-P006
MSG00034,P022,P010,2025-12-26 14:35:05,text,Running 10 minutes late.,False,False,DEV-P022
MSG00035,P035,P026,2025-10-11 14:35:46,text,kal milte hain,False,False,DEV-P035
MSG00036,P034,P022,2025-09-23 19:00:09,text,Let's catch up this weekend.,False,False,DEV-P034
MSG00037,P028,P011,2026-03-20 06:35:51,text,"Thanks, received the payment.",False,False,DEV-P028
MSG00038,P015,P037,2025-10-04 06:10:18,text,wo paise abhi tak nahi aaye,False,False,DEV-P015
MSG00039,P029,P020,2026-01-25 16:55:47,text,are you still coming tonight?,False,False,DEV-P029
MSG00040,P039,P030,2025-12-08 23:20:37,text,Traffic is bad near the mall today.,False,False,DEV-P039
MSG00041,P040,P030,2026-02-03 08:50:13,text,mummy ko bata dena main late aaunga,False,False,DEV-P040
MSG00042,P008,P039,2026-02-02 18:35:52,text,Happy Birthday!,False,False,DEV-P008
MSG00043,P021,P008,2025-10-26 19:10:57,text,Happy Birthday!,False,False,DEV-P021
MSG00044,P013,P041,2026-03-08 08:35:12,text,party thoda postpone ho gayi hai,False,False,DEV-P013
MSG00045,P017,P042,2025-10-03 08:55:50,text,Can we reschedule to 4pm?,False,False,DEV-P017
MSG00046,P029,P003,2025-09-14 18:00:31,text,"kal ka plan cancel, kuch kaam aa gaya",False,False,DEV-P029
MSG00047,P041,P009,2026-02-01 21:55:29,text,Let's catch up this weekend.,False,False,DEV-P041
MSG00048,P021,P004,2025-09-30 09:30:28,text,Running 10 minutes late.,False,False,DEV-P021
MSG00049,P033,P015,2026-03-15 21:20:48,text,Please send the invoice by evening.,False,False,DEV-P033
MSG00050,P004,P001,2025-09-24 13:05:14,text,Please send the invoice by evening.,False,False,DEV-P004
MSG00051,P011,P030,2025-10-08 23:30:08,text,Can we reschedule to 4pm?,False,False,DEV-P011
MSG00052,P018,P022,2025-09-12 21:00:25,text,kal milte hain,False,False,DEV-P018
MSG00053,P027,P013,2026-04-01 07:40:59,text,send me the file asap,False,False,DEV-P027
MSG00054,P033,P007,2025-11-30 18:55:39,text,Happy Birthday!,False,False,DEV-P033
MSG00055,P028,P026,2026-01-07 08:10:48,text,Please send the invoice by evening.,False,False,DEV-P028
