sighting_id,vehicle_id,timestamp,location_id,source,confidence,registration_as_captured
VS00001,V001,2026-04-02 10:20:50,L025,Traffic Camera,0.6,OD20HH2819
VS00002,V001,2025-10-19 18:05:15,L018,Parking System,0.91,OD20HH2819
VS00003,V001,2026-04-09 09:20:07,L023,Traffic Camera,0.88,OD20HH2819
VS00004,V001,2025-11-19 07:25:38,L027,Traffic Camera,0.57,OD20HH2819
VS00005,V001,2025-10-27 11:25:50,L006,Traffic Camera,0.57,OD20HH2819
VS00006,V001,2026-03-30 16:50:33,L006,Traffic Camera,0.52,OD20HH2819
VS00007,V001,2026-04-04 17:20:50,L020,Parking System,0.74,OD20HH2819
VS00008,V002,2026-01-13 13:15:39,L003,Fuel Station Camera,0.77,OD14GF5791
VS00009,V002,2026-04-19 11:20:03,L002,Toll Camera,0.8,OD14GF5791
VS00010,V002,2025-12-10 14:20:59,L018,Parking System,0.86,OD14GF5791
VS00011,V002,2026-01-28 18:20:34,L004,Toll Camera,0.68,OD14GF5791
VS00012,V002,2025-12-27 20:55:39,L003,Traffic Camera,0.81,OD14GF5791
VS00013,V002,2025-09-24 12:05:13,L003,Parking System,0.57,OD14GF1791
VS00014,V002,2025-09-13 20:25:55,L019,Traffic Camera,0.57,OD14GF5791
VS00015,V002,2025-09-11 18:15:49,L018,Traffic Camera,0.95,OD14GF5791
VS00016,V002,2025-11-27 21:25:50,L021,Parking System,0.65,OD14GF5791
VS00017,V002,2026-01-15 17:40:43,L020,Toll Camera,0.73,OD14GF5791
VS00018,V002,2025-12-05 08:55:50,L026,Fuel Station Camera,0.59,OD14GF5791
VS00019,V002,2025-12-02 21:45:36,L023,Traffic Camera,0.55,OD14GF5791
VS00020,V003,2026-03-12 11:25:46,L009,Fuel Station Camera,0.92,OD13BH2283
VS00021,V003,2026-04-23 14:35:45,L026,Fuel Station Camera,0.61,OD13BH2283
VS00022,V003,2025-09-21 22:25:40,L024,Parking System,0.52,OD13BH2283
VS00023,V003,2026-01-30 18:45:23,L002,Traffic Camera,0.55,OD13BH2283
VS00024,V003,2026-03-05 06:50:09,L017,Toll Camera,0.92,OD13BH2283
VS00025,V003,2026-01-17 16:00:58,L004,Toll Camera,0.62,OD13BH2283
VS00026,V003,2026-03-19 07:50:23,L020,Parking System,0.84,OD13BH2283
VS00027,V003,2026-01-07 18:40:37,L012,Toll Camera,0.8,OD13BH2283
VS00028,V003,2025-11-29 19:30:10,L013,Fuel Station Camera,0.73,OD13BH2283
VS00029,V004,2026-01-12 11:45:35,L020,Parking System,0.78,OD14CDB045
VS00030,V004,2025-11-01 17:55:53,L008,Parking System,0.91,OD14CD9045
VS00031,V004,2025-09-12 14:30:14,L026,Toll Camera,0.72,OD14CD9045
VS00032,V004,2025-09-28 07:20:30,L008,Toll Camera,0.79,OD14CD9045
VS00033,V004,2025-10-25 20:30:42,L003,Traffic Camera,0.52,OD14CD9045
VS00034,V004,2025-11-11 10:30:53,L014,Traffic Camera,0.86,OD14CD9045
VS00035,V004,2025-09-30 06:55:35,L002,Toll Camera,0.68,OD14CD9045
VS00036,V004,2025-09-15 20:10:29,L017,Parking System,0.87,OD14CD9045
VS00037,V005,2026-04-17 22:30:28,L010,Fuel Station Camera,0.83,OD13CA1159
VS00038,V005,2025-11-19 17:35:41,L015,Parking System,0.8,OD13C71159
VS00039,V005,2026-03-07 18:20:20,L016,Parking System,0.9,OD13CA1159
VS00040,V005,2025-12-04 17:10:46,L022,Fuel Station Camera,0.78,OD13CA1159
VS00041,V005,2025-10-10 14:25:18,L024,Traffic Camera,0.68,OD13CA1159
VS00042,V005,2026-01-18 21:10:45,L003,Traffic Camera,0.94,OD13CAA159
VS00043,V005,2026-01-21 10:50:42,L012,Fuel Station Camera,0.66,OD13CA1B59
VS00044,V005,2026-03-16 08:00:20,L011,Traffic Camera,0.91,OD13CA1159
VS00045,V005,2026-02-13 19:05:43,L007,Parking System,0.7,OD13CA1159
VS00046,V006,2026-03-06 22:30:39,L006,Traffic Camera,0.63,OD17EH7052
VS00047,V006,2026-01-01 14:35:27,L014,Toll Camera,0.52,OD17EH7052
VS00048,V006,2025-10-19 18:15:46,L006,Parking System,0.78,OD17EH7052
VS00049,V006,2026-01-26 22:45:39,L009,Traffic Camera,0.51,OD17EH7052
VS00050,V006,2026-02-04 14:15:55,L023,Traffic Camera,0.89,OD17EH7052
VS00051,V006,2026-01-21 10:55:25,L016,Parking System,0.65,OD17EHF052
VS00052,V006,2025-12-15 15:00:05,L002,Parking System,0.9,OD17EH7052
VS00053,V006,2025-10-14 06:00:38,L025,Fuel Station Camera,0.82,OD17EH7052
VS00054,V007,2026-03-17 11:30:01,L007,Toll Camera,0.72,OD05CC1933
VS00055,V007,2026-01-03 11:45:12,L027,Fuel Station Camera,0.53,OD05CC1933
VS00056,V007,2025-10-02 17:15:03,L025,Toll Camera,0.74,OD05CC1933
VS00057,V007,2026-02-27 21:30:24,L017,Toll Camera,0.69,OD05CC1933
VS00058,V007,2025-11-21 07:45:19,L026,Parking System,0.67,OD05CC1933
VS00059,V007,2026-01-08 16:55:12,L022,Fuel Station Camera,0.65,OD05CC1933
VS00060,V007,2025-12-28 13:05:37,L008,Fuel Station Camera,0.78,OD05CC1933
VS00061,V007,2025-12-10 07:40:09,L023,Parking System,0.53,OD05CC1933
VS00062,V007,2026-02-07 06:40:08,L013,Toll Camera,0.64,OD05CC8933
VS00063,V007,2025-12-03 13:15:15,L024,Toll Camera,0.71,OD05CC1933
VS00064,V007,2025-12-18 14:25:32,L022,Traffic Camera,0.68,OD05CC1933
VS00065,V008,2026-04-01 19:45:38,L016,Traffic Camera,0.67,OD14AB4957
VS00066,V008,2025-10-26 10:00:20,L001,Traffic Camera,0.62,OD14AB4957
VS00067,V008,2026-03-26 11:55:01,L026,Fuel Station Camera,0.76,OD14AB4957
VS00068,V008,2026-03-12 17:55:19,L027,Traffic Camera,0.73,OD14AB4957
VS00069,V008,2026-01-24 18:50:58,L022,Traffic Camera,0.69,OD14AB4957
VS00070,V008,2025-10-13 23:00:37,L024,Fuel Station Camera,0.52,OD14AB4957
