gps_id,movement_id,person_id,timestamp,location_id,source,confidence,accuracy_meters
GPS00001,MV00001,P001,2025-10-10 07:30:52,L004,GPS,0.86,11
GPS00002,MV00002,P001,2025-09-14 11:10:05,L001,GPS,0.63,4
GPS00003,MV00004,P001,2025-11-11 17:40:37,L001,GPS,0.84,6
GPS00004,MV00005,P001,2026-04-25 21:00:17,L001,GPS,0.7,12
GPS00005,MV00006,P001,2026-03-27 09:15:07,L004,GPS,0.93,4
GPS00006,MV00008,P001,2026-03-13 13:20:23,L004,GPS,0.94,6
GPS00007,MV00009,P001,2026-03-26 19:05:06,L001,GPS,0.64,5
GPS00008,MV00011,P001,2026-01-23 13:05:15,L004,GPS,0.69,13
GPS00009,MV00012,P001,2026-02-08 13:45:43,L004,GPS,0.83,6
GPS00010,MV00014,P002,2025-10-26 15:00:05,L011,GPS,0.67,10
GPS00011,MV00015,P002,2025-12-30 17:15:05,L011,GPS,0.89,9
GPS00012,MV00018,P002,2025-11-27 15:40:59,L011,GPS,0.68,6
GPS00013,MV00021,P002,2025-11-27 18:45:15,L014,GPS,0.75,13
GPS00014,MV00022,P002,2026-03-21 20:45:30,L011,GPS,0.95,4
GPS00015,MV00028,P003,2025-09-16 07:50:13,L021,GPS,0.83,3
GPS00016,MV00029,P003,2025-11-16 15:05:18,L002,GPS,0.72,6
GPS00017,MV00031,P003,2026-01-19 11:25:27,L021,GPS,0.76,6
GPS00018,MV00032,P003,2025-09-12 17:05:10,L002,GPS,0.64,11
GPS00019,MV00034,P003,2026-04-10 18:30:49,L002,GPS,0.89,6
GPS00020,MV00035,P003,2025-10-14 18:55:21,L021,GPS,0.7,14
GPS00021,MV00037,P004,2026-02-03 20:15:45,L023,GPS,0.95,6
GPS00022,MV00040,P004,2026-04-02 08:45:50,L021,GPS,0.79,6
GPS00023,MV00041,P004,2026-02-02 12:10:37,L021,GPS,0.74,11
GPS00024,MV00042,P004,2025-12-18 18:25:55,L021,GPS,0.63,5
GPS00025,MV00043,P004,2025-12-28 17:25:51,L023,GPS,0.74,12
GPS00026,MV00045,P004,2026-02-06 13:30:29,L023,GPS,0.8,4
GPS00027,MV00047,P005,2025-10-14 22:35:16,L004,GPS,0.66,4
GPS00028,MV00049,P005,2025-09-23 16:50:00,L021,GPS,0.63,14
GPS00029,MV00053,P005,2025-09-23 11:15:36,L021,GPS,0.8,15
GPS00030,MV00056,P005,2025-10-24 06:10:32,L021,GPS,0.85,5
GPS00031,MV00059,P006,2026-03-25 14:30:23,L014,GPS,0.88,13
GPS00032,MV00060,P006,2026-04-16 08:20:18,L011,GPS,0.9,14
GPS00033,MV00063,P006,2026-04-06 08:15:50,L011,GPS,0.88,5
GPS00034,MV00064,P006,2026-01-31 10:20:53,L014,GPS,0.61,8
GPS00035,MV00068,P007,2025-11-25 16:40:38,L011,GPS,0.89,13
GPS00036,MV00069,P007,2026-04-13 17:50:39,L011,GPS,0.73,6
GPS00037,MV00071,P007,2026-02-02 09:10:20,L011,GPS,0.74,14
GPS00038,MV00073,P007,2026-04-07 22:10:34,L001,GPS,0.83,8
GPS00039,MV00074,P007,2026-03-26 10:10:43,L011,GPS,0.87,6
GPS00040,MV00075,P008,2026-01-19 14:55:31,L018,GPS,0.77,11
GPS00041,MV00076,P008,2026-01-23 23:05:02,L018,GPS,0.7,12
GPS00042,MV00077,P008,2025-09-22 11:35:39,L018,GPS,0.65,13
GPS00043,MV00083,P008,2025-11-13 13:30:55,L016,GPS,0.77,4
GPS00044,MV00084,P008,2025-12-01 14:45:31,L016,GPS,0.72,5
GPS00045,MV00085,P008,2025-10-22 15:35:55,L016,GPS,0.9,14
GPS00046,MV00086,P008,2025-09-20 14:05:07,L018,GPS,0.78,13
GPS00047,MV00088,P008,2026-04-03 07:55:24,L018,GPS,0.88,7
GPS00048,MV00090,P009,2025-09-27 11:00:40,L027,GPS,0.88,14
GPS00049,MV00091,P009,2026-03-03 18:05:17,L027,GPS,0.65,5
GPS00050,MV00094,P009,2025-11-29 17:30:08,L027,GPS,0.67,15
GPS00051,MV00095,P009,2025-10-18 13:05:32,L027,GPS,0.84,8
GPS00052,MV00096,P009,2026-03-07 16:55:49,L018,GPS,0.72,8
GPS00053,MV00098,P010,2026-03-13 23:55:23,L010,GPS,0.74,13
GPS00054,MV00099,P010,2025-11-19 17:55:57,L001,GPS,0.8,12
GPS00055,MV00100,P010,2026-03-18 17:05:51,L010,GPS,0.82,3
GPS00056,MV00102,P010,2025-10-23 06:00:09,L010,GPS,0.93,8
GPS00057,MV00103,P011,2026-01-13 21:00:12,L018,GPS,0.79,9
GPS00058,MV00105,P011,2025-12-07 23:45:58,L027,GPS,0.63,15
GPS00059,MV00107,P011,2025-09-16 11:40:40,L018,GPS,0.72,3
GPS00060,MV00109,P011,2026-01-28 07:15:11,L027,GPS,0.87,11
GPS00061,MV00114,P012,2026-03-16 14:35:43,L022,GPS,0.66,9
GPS00062,MV00115,P012,2025-12-03 14:15:42,L022,GPS,0.71,3
GPS00063,MV00116,P012,2026-01-27 16:35:36,L014,GPS,0.76,10
GPS00064,MV00117,P012,2025-10-19 06:10:59,L022,GPS,0.84,9
GPS00065,MV00118,P012,2026-02-15 16:40:25,L022,GPS,0.62,9
GPS00066,MV00121,P013,2025-09-30 10:15:31,L001,GPS,0.93,14
GPS00067,MV00124,P013,2025-11-27 19:45:00,L022,GPS,0.88,13
GPS00068,MV00127,P013,2026-01-20 15:45:57,L022,GPS,0.82,12
GPS00069,MV00128,P013,2026-01-04 06:00:54,L001,GPS,0.91,14
GPS00070,MV00129,P013,2025-11-09 16:05:24,L022,GPS,0.83,10
GPS00071,MV00130,P013,2025-10-20 06:45:54,L022,GPS,0.73,14
GPS00072,MV00131,P013,2026-01-21 20:40:06,L022,GPS,0.67,4
GPS00073,MV00139,P014,2025-10-16 06:40:46,L024,GPS,0.76,8
GPS00074,MV00140,P014,2026-04-20 14:25:58,L024,GPS,0.78,10
GPS00075,MV00142,P014,2026-02-21 13:45:49,L024,GPS,0.67,10
GPS00076,MV00144,P014,2026-01-30 11:30:47,L024,GPS,0.69,13
GPS00077,MV00146,P014,2026-04-12 08:15:38,L021,GPS,0.92,14
GPS00078,MV00148,P014,2025-12-02 23:50:45,L024,GPS,0.9,12
GPS00079,MV00149,P015,2026-02-02 15:55:08,L004,GPS,0.62,9
GPS00080,MV00152,P015,2026-02-08 18:25:25,L014,GPS,0.92,11
GPS00081,MV00153,P015,2026-03-24 20:40:24,L014,GPS,0.85,6
GPS00082,MV00154,P015,2026-03-26 15:50:43,L014,GPS,0.8,9
GPS00083,MV00156,P016,2025-11-19 20:20:47,L022,GPS,0.91,5
GPS00084,MV00157,P016,2026-02-17 17:45:11,L021,GPS,0.65,8
GPS00085,MV00158,P016,2026-03-07 23:15:40,L021,GPS,0.68,5
GPS00086,MV00159,P016,2026-01-17 13:45:17,L021,GPS,0.86,3
GPS00087,MV00161,P016,2025-10-15 07:15:45,L022,GPS,0.85,7
GPS00088,MV00162,P016,2025-10-12 19:05:45,L022,GPS,0.92,9
GPS00089,MV00164,P017,2026-01-24 21:30:16,L003,GPS,0.62,11
GPS00090,MV00165,P017,2026-03-26 15:30:14,L003,GPS,0.82,12
GPS00091,MV00167,P017,2025-09-25 15:15:37,L014,GPS,0.84,11
GPS00092,MV00168,P017,2025-10-08 08:15:40,L003,GPS,0.76,12
GPS00093,MV00171,P017,2026-01-11 21:05:48,L014,GPS,0.7,11
GPS00094,MV00172,P018,2025-09-24 21:55:54,L022,GPS,0.7,11
GPS00095,MV00174,P018,2026-04-03 12:20:56,L027,GPS,0.85,9
GPS00096,MV00175,P018,2025-11-24 14:40:57,L015,GPS,0.92,9
GPS00097,MV00177,P018,2026-02-05 16:55:18,L016,GPS,0.65,15
GPS00098,MV00178,P018,2026-03-31 07:00:15,L018,GPS,0.61,9
GPS00099,MV00181,P018,2025-11-18 19:05:16,L018,GPS,0.87,8
GPS00100,MV00182,P018,2025-09-13 13:10:11,L013,GPS,0.84,10
GPS00101,MV00183,P019,2025-12-19 11:55:59,L018,GPS,0.91,14
GPS00102,MV00184,P019,2025-10-06 13:30:54,L007,GPS,0.74,15
GPS00103,MV00186,P019,2025-10-06 19:25:36,L007,GPS,0.94,8
GPS00104,MV00189,P020,2026-01-21 15:25:55,L023,GPS,0.76,9
GPS00105,MV00190,P020,2025-12-27 19:55:22,L023,GPS,0.69,15
GPS00106,MV00191,P020,2026-03-27 06:35:27,L018,GPS,0.77,10
GPS00107,MV00194,P020,2025-10-14 13:00:15,L023,GPS,0.67,13
GPS00108,MV00196,P020,2026-02-26 16:10:20,L018,GPS,0.9,13
GPS00109,MV00201,P020,2025-11-12 18:20:01,L023,GPS,0.74,8
GPS00110,MV00204,P021,2025-12-15 08:15:33,L021,GPS,0.84,3
GPS00111,MV00205,P021,2025-11-02 08:50:05,L024,GPS,0.91,9
GPS00112,MV00206,P021,2026-03-23 11:25:58,L024,GPS,0.81,8
GPS00113,MV00209,P021,2026-03-05 17:20:45,L021,GPS,0.63,14
GPS00114,MV00211,P021,2025-12-03 13:55:51,L024,GPS,0.78,10
GPS00115,MV00212,P022,2026-02-07 21:35:46,L001,GPS,0.62,15
GPS00116,MV00214,P022,2025-10-14 10:45:59,L001,GPS,0.88,13
GPS00117,MV00216,P022,2026-04-15 10:50:17,L022,GPS,0.9,5
GPS00118,MV00217,P022,2025-11-26 17:25:12,L022,GPS,0.6,9
GPS00119,MV00218,P022,2026-04-24 06:05:56,L022,GPS,0.84,8
GPS00120,MV00220,P023,2025-11-28 09:45:59,L004,GPS,0.79,4
GPS00121,MV00221,P023,2026-03-30 10:00:41,L004,GPS,0.63,11
GPS00122,MV00222,P023,2025-12-22 19:25:21,L001,GPS,0.8,12
GPS00123,MV00225,P023,2025-11-02 09:25:38,L004,GPS,0.62,7
GPS00124,MV00226,P023,2025-12-19 22:25:26,L001,GPS,0.66,4
GPS00125,MV00228,P023,2025-10-13 06:05:22,L004,GPS,0.74,11
GPS00126,MV00231,P023,2026-01-14 18:05:39,L004,GPS,0.75,5
GPS00127,MV00233,P024,2026-03-11 21:15:46,L018,GPS,0.69,12
GPS00128,MV00234,P024,2026-03-04 09:05:07,L018,GPS,0.73,11
GPS00129,MV00235,P024,2026-04-17 06:20:30,L016,GPS,0.7,15
GPS00130,MV00236,P024,2026-03-25 11:45:58,L018,GPS,0.64,13
GPS00131,MV00237,P024,2025-09-14 16:15:25,L016,GPS,0.66,6
GPS00132,MV00239,P024,2025-09-12 06:25:54,L018,GPS,0.79,9
GPS00133,MV00241,P024,2025-10-25 22:15:52,L016,GPS,0.61,12
GPS00134,MV00243,P024,2026-01-19 20:20:25,L018,GPS,0.89,7
GPS00135,MV00244,P024,2025-11-19 08:55:04,L016,GPS,0.69,14
GPS00136,MV00245,P025,2025-11-15 19:10:14,L014,GPS,0.82,10
GPS00137,MV00249,P025,2026-03-29 12:55:22,L014,GPS,0.61,8
GPS00138,MV00250,P025,2026-02-15 20:30:00,L003,GPS,0.9,13
GPS00139,MV00251,P025,2025-10-24 10:40:39,L003,GPS,0.95,14
GPS00140,MV00252,P025,2025-09-16 16:50:18,L014,GPS,0.93,6
GPS00141,MV00253,P025,2025-12-02 14:00:58,L014,GPS,0.89,15
GPS00142,MV00254,P025,2025-12-16 17:40:10,L014,GPS,0.62,14
GPS00143,MV00258,P026,2025-09-19 09:05:13,L019,GPS,0.77,13
GPS00144,MV00260,P026,2026-01-04 14:40:28,L014,GPS,0.92,8
GPS00145,MV00264,P026,2025-09-15 19:10:27,L014,GPS,0.79,15
GPS00146,MV00265,P026,2025-11-27 23:05:41,L014,GPS,0.93,7
GPS00147,MV00269,P027,2025-09-15 15:00:51,L004,GPS,0.76,10
GPS00148,MV00270,P027,2025-10-01 08:15:06,L004,GPS,0.68,10
GPS00149,MV00271,P027,2025-10-10 23:00:04,L001,GPS,0.71,8
