movement_id,person_id,timestamp,location_id,source,confidence,accuracy_meters
MV00001,P001,2025-10-10 07:30:52,L004,GPS,0.86,11
MV00002,P001,2025-09-14 11:10:05,L001,GPS,0.63,4
MV00003,P001,2026-02-24 13:20:37,L001,Cell Tower Approximation,0.45,381
MV00004,P001,2025-11-11 17:40:37,L001,GPS,0.84,6
MV00005,P001,2026-04-25 21:00:17,L001,GPS,0.7,12
MV00006,P001,2026-03-27 09:15:07,L004,GPS,0.93,4
MV00007,P001,2025-12-07 11:30:29,L004,Cell Tower Approximation,0.58,503
MV00008,P001,2026-03-13 13:20:23,L004,GPS,0.94,6
MV00009,P001,2026-03-26 19:05:06,L001,GPS,0.64,5
MV00010,P001,2025-11-09 11:45:48,L001,Cell Tower Approximation,0.52,291
MV00011,P001,2026-01-23 13:05:15,L004,GPS,0.69,13
MV00012,P001,2026-02-08 13:45:43,L004,GPS,0.83,6
MV00013,P001,2026-01-07 19:15:12,L004,Cell Tower Approximation,0.47,895
MV00014,P002,2025-10-26 15:00:05,L011,GPS,0.67,10
MV00015,P002,2025-12-30 17:15:05,L011,GPS,0.89,9
MV00016,P002,2025-11-14 09:25:51,L014,Cell Tower Approximation,0.36,679
MV00017,P002,2026-04-03 06:35:45,L011,Cell Tower Approximation,0.44,772
MV00018,P002,2025-11-27 15:40:59,L011,GPS,0.68,6
MV00019,P002,2025-10-14 15:55:59,L014,Cell Tower Approximation,0.51,855
MV00020,P002,2025-12-28 15:15:40,L011,Cell Tower Approximation,0.45,332
MV00021,P002,2025-11-27 18:45:15,L014,GPS,0.75,13
MV00022,P002,2026-03-21 20:45:30,L011,GPS,0.95,4
MV00023,P003,2025-09-23 13:05:19,L021,Cell Tower Approximation,0.7,654
MV00024,P003,2025-09-17 06:40:37,L002,Cell Tower Approximation,0.48,575
MV00025,P003,2026-01-27 09:20:36,L021,Cell Tower Approximation,0.59,825
MV00026,P003,2025-10-29 10:15:51,L021,Cell Tower Approximation,0.59,217
MV00027,P003,2026-01-10 16:55:20,L021,Cell Tower Approximation,0.44,682
MV00028,P003,2025-09-16 07:50:13,L021,GPS,0.83,3
MV00029,P003,2025-11-16 15:05:18,L002,GPS,0.72,6
MV00030,P003,2025-09-12 13:35:20,L021,Cell Tower Approximation,0.59,664
MV00031,P003,2026-01-19 11:25:27,L021,GPS,0.76,6
MV00032,P003,2025-09-12 17:05:10,L002,GPS,0.64,11
MV00033,P003,2025-12-28 07:30:37,L021,Cell Tower Approximation,0.5,417
MV00034,P003,2026-04-10 18:30:49,L002,GPS,0.89,6
MV00035,P003,2025-10-14 18:55:21,L021,GPS,0.7,14
MV00036,P004,2026-02-13 19:45:37,L021,Cell Tower Approximation,0.42,656
MV00037,P004,2026-02-03 20:15:45,L023,GPS,0.95,6
MV00038,P004,2025-09-22 22:15:43,L021,Cell Tower Approximation,0.48,745
MV00039,P004,2026-01-15 18:45:49,L023,Cell Tower Approximation,0.37,397
MV00040,P004,2026-04-02 08:45:50,L021,GPS,0.79,6
MV00041,P004,2026-02-02 12:10:37,L021,GPS,0.74,11
MV00042,P004,2025-12-18 18:25:55,L021,GPS,0.63,5
MV00043,P004,2025-12-28 17:25:51,L023,GPS,0.74,12
MV00044,P004,2026-03-06 14:35:31,L023,Cell Tower Approximation,0.42,583
MV00045,P004,2026-02-06 13:30:29,L023,GPS,0.8,4
MV00046,P004,2026-03-22 21:45:27,L023,Cell Tower Approximation,0.41,367
MV00047,P005,2025-10-14 22:35:16,L004,GPS,0.66,4
MV00048,P005,2025-11-21 06:45:28,L004,Cell Tower Approximation,0.64,850
MV00049,P005,2025-09-23 16:50:00,L021,GPS,0.63,14
MV00050,P005,2025-09-22 11:45:45,L021,Cell Tower Approximation,0.51,862
MV00051,P005,2026-03-18 17:30:44,L021,Cell Tower Approximation,0.44,287
MV00052,P005,2026-03-01 20:05:35,L021,Cell Tower Approximation,0.61,369
MV00053,P005,2025-09-23 11:15:36,L021,GPS,0.8,15
MV00054,P005,2026-02-20 10:15:33,L004,Cell Tower Approximation,0.63,730
MV00055,P005,2025-09-28 11:50:07,L021,Cell Tower Approximation,0.61,484
MV00056,P005,2025-10-24 06:10:32,L021,GPS,0.85,5
MV00057,P005,2025-12-31 23:05:21,L004,Cell Tower Approximation,0.62,619
MV00058,P005,2026-04-19 17:00:59,L021,Cell Tower Approximation,0.68,291
MV00059,P006,2026-03-25 14:30:23,L014,GPS,0.88,13
MV00060,P006,2026-04-16 08:20:18,L011,GPS,0.9,14
MV00061,P006,2026-02-06 10:35:57,L014,Cell Tower Approximation,0.64,335
MV00062,P006,2025-11-04 06:25:10,L011,Cell Tower Approximation,0.49,519
MV00063,P006,2026-04-06 08:15:50,L011,GPS,0.88,5
MV00064,P006,2026-01-31 10:20:53,L014,GPS,0.61,8
MV00065,P006,2025-12-21 06:35:29,L014,Cell Tower Approximation,0.47,636
MV00066,P006,2025-10-26 13:05:03,L014,Cell Tower Approximation,0.36,417
MV00067,P007,2025-11-02 21:25:57,L001,Cell Tower Approximation,0.46,307
MV00068,P007,2025-11-25 16:40:38,L011,GPS,0.89,13
MV00069,P007,2026-04-13 17:50:39,L011,GPS,0.73,6
MV00070,P007,2025-12-03 21:00:16,L001,Cell Tower Approximation,0.51,714
MV00071,P007,2026-02-02 09:10:20,L011,GPS,0.74,14
MV00072,P007,2026-04-16 16:35:47,L001,Cell Tower Approximation,0.65,178
MV00073,P007,2026-04-07 22:10:34,L001,GPS,0.83,8
MV00074,P007,2026-03-26 10:10:43,L011,GPS,0.87,6
MV00075,P008,2026-01-19 14:55:31,L018,GPS,0.77,11
MV00076,P008,2026-01-23 23:05:02,L018,GPS,0.7,12
MV00077,P008,2025-09-22 11:35:39,L018,GPS,0.65,13
MV00078,P008,2025-11-03 08:45:58,L018,Cell Tower Approximation,0.53,424
MV00079,P008,2026-02-11 07:55:44,L018,Cell Tower Approximation,0.64,262
MV00080,P008,2026-03-22 20:10:05,L018,Cell Tower Approximation,0.48,190
MV00081,P008,2025-10-18 18:00:23,L018,Cell Tower Approximation,0.35,423
MV00082,P008,2026-03-18 16:15:46,L018,Cell Tower Approximation,0.36,730
