access_id,person_id,location_id,timestamp,access_result,door,reader_id
AC00001,P001,L006,2025-11-12 17:55:56,granted,Rear Gate,RDR-L006
AC00002,P001,L011,2026-02-18 19:35:11,granted,Rear Gate,RDR-L011
AC00003,P001,L014,2025-10-23 19:50:53,granted,Main Entrance,RDR-L014
AC00004,P001,L022,2025-12-22 18:40:56,granted,Parking Gate,RDR-L022
AC00005,P001,L011,2026-04-16 17:20:23,granted,Rear Gate,RDR-L011
AC00006,P002,L022,2026-03-02 09:50:42,granted,Main Entrance,RDR-L022
AC00007,P002,L018,2026-01-05 20:30:45,granted,Main Entrance,RDR-L018
AC00008,P002,L006,2025-12-22 22:00:22,granted,Server Room Door,RDR-L006
AC00009,P002,L022,2026-03-28 15:25:52,granted,Rear Gate,RDR-L022
AC00010,P003,L002,2026-03-11 17:30:03,granted,Rear Gate,RDR-L002
AC00011,P003,L018,2025-10-15 19:40:15,granted,Reception,RDR-L018
AC00012,P003,L006,2026-02-11 07:10:49,granted,Server Room Door,RDR-L006
AC00013,P003,L026,2025-12-29 18:10:49,granted,Rear Gate,RDR-L026
AC00014,P003,L002,2026-02-05 15:10:42,granted,Parking Gate,RDR-L002
AC00015,P003,L002,2025-09-15 07:10:01,granted,Main Entrance,RDR-L002
AC00016,P003,L002,2026-01-22 19:35:48,granted,Main Entrance,RDR-L002
AC00017,P004,L002,2025-12-01 22:20:25,granted,Rear Gate,RDR-L002
AC00018,P004,L014,2025-12-12 12:25:50,granted,Main Entrance,RDR-L014
AC00019,P004,L006,2026-04-06 18:45:03,granted,Parking Gate,RDR-L006
AC00020,P004,L026,2026-04-20 09:55:37,granted,Parking Gate,RDR-L026
AC00021,P004,L018,2026-01-02 11:45:41,granted,Main Entrance,RDR-L018
AC00022,P004,L026,2025-12-17 22:15:54,granted,Parking Gate,RDR-L026
AC00023,P004,L002,2026-03-29 13:30:12,granted,Server Room Door,RDR-L002
AC00024,P004,L011,2026-01-22 17:15:42,granted,Rear Gate,RDR-L011
AC00025,P005,L006,2025-10-04 14:20:48,granted,Rear Gate,RDR-L006
AC00026,P005,L026,2025-11-13 08:20:13,granted,Main Entrance,RDR-L026
AC00027,P005,L022,2026-03-23 21:35:06,granted,Rear Gate,RDR-L022
AC00028,P005,L011,2025-09-12 10:35:56,granted,Parking Gate,RDR-L011
AC00029,P005,L014,2025-12-02 15:00:16,granted,Parking Gate,RDR-L014
AC00030,P005,L010,2025-12-14 15:20:00,granted,Rear Gate,RDR-L010
AC00031,P005,L011,2025-12-16 20:45:08,granted,Rear Gate,RDR-L011
AC00032,P005,L018,2026-01-09 16:45:42,denied,Main Entrance,RDR-L018
AC00033,P006,L022,2026-02-23 23:20:20,denied,Reception,RDR-L022
AC00034,P006,L010,2026-02-06 23:05:56,granted,Main Entrance,RDR-L010
AC00035,P006,L002,2026-01-12 14:20:44,granted,Server Room Door,RDR-L002
AC00036,P006,L011,2026-03-21 22:15:46,granted,Parking Gate,RDR-L011
AC00037,P006,L010,2026-02-03 13:05:21,denied,Reception,RDR-L010
AC00038,P006,L011,2026-02-21 17:40:51,granted,Server Room Door,RDR-L011
AC00039,P006,L011,2025-11-14 21:40:42,granted,Parking Gate,RDR-L011
AC00040,P006,L014,2026-04-03 18:15:09,granted,Rear Gate,RDR-L014
AC00041,P006,L010,2025-10-30 09:30:21,granted,Main Entrance,RDR-L010
AC00042,P007,L022,2026-01-04 23:45:08,denied,Parking Gate,RDR-L022
AC00043,P007,L011,2026-01-04 19:05:54,granted,Rear Gate,RDR-L011
AC00044,P007,L010,2025-10-27 16:10:29,granted,Rear Gate,RDR-L010
AC00045,P008,L010,2025-12-20 13:05:22,granted,Parking Gate,RDR-L010
AC00046,P008,L002,2025-11-01 16:45:30,granted,Server Room Door,RDR-L002
AC00047,P008,L011,2026-04-19 19:20:39,granted,Rear Gate,RDR-L011
AC00048,P008,L006,2025-10-25 13:20:05,denied,Main Entrance,RDR-L006
AC00049,P008,L018,2026-03-24 08:00:52,granted,Reception,RDR-L018
AC00050,P008,L006,2025-10-08 18:20:32,granted,Reception,RDR-L006
AC00051,P008,L002,2026-03-07 07:55:39,granted,Rear Gate,RDR-L002
AC00052,P008,L006,2025-10-02 16:00:38,granted,Reception,RDR-L006
AC00053,P008,L022,2026-03-20 14:45:36,granted,Server Room Door,RDR-L022
AC00054,P009,L014,2025-11-29 12:30:48,granted,Parking Gate,RDR-L014
AC00055,P009,L011,2025-10-04 16:20:07,granted,Main Entrance,RDR-L011
AC00056,P009,L002,2025-11-28 08:05:57,granted,Reception,RDR-L002
AC00057,P009,L026,2026-01-07 17:30:24,granted,Main Entrance,RDR-L026
AC00058,P009,L014,2025-09-13 14:30:28,granted,Parking Gate,RDR-L014
AC00059,P010,L026,2025-12-15 11:10:15,granted,Server Room Door,RDR-L026
AC00060,P010,L022,2025-10-25 13:30:03,granted,Parking Gate,RDR-L022
AC00061,P010,L002,2026-03-22 23:25:38,granted,Reception,RDR-L002
AC00062,P010,L014,2026-01-19 07:20:11,granted,Reception,RDR-L014
AC00063,P010,L002,2025-12-03 13:20:29,granted,Reception,RDR-L002
AC00064,P011,L022,2025-12-21 21:10:51,granted,Parking Gate,RDR-L022
AC00065,P011,L022,2026-01-11 15:55:40,granted,Main Entrance,RDR-L022
AC00066,P011,L022,2026-01-27 18:25:49,granted,Server Room Door,RDR-L022
AC00067,P011,L026,2025-11-03 12:20:21,granted,Server Room Door,RDR-L026
AC00068,P011,L014,2025-12-18 11:05:28,granted,Reception,RDR-L014
AC00069,P011,L006,2026-03-24 20:45:40,granted,Rear Gate,RDR-L006
AC00070,P011,L006,2026-03-15 11:00:14,granted,Server Room Door,RDR-L006
AC00071,P011,L002,2025-10-29 23:05:24,granted,Parking Gate,RDR-L002
AC00072,P011,L011,2026-02-08 19:15:28,granted,Parking Gate,RDR-L011
AC00073,P012,L022,2026-01-12 10:35:39,granted,Reception,RDR-L022
AC00074,P012,L006,2026-02-18 19:20:28,granted,Rear Gate,RDR-L006
AC00075,P012,L022,2025-09-15 13:05:43,granted,Rear Gate,RDR-L022
AC00076,P012,L006,2026-01-22 09:20:03,granted,Server Room Door,RDR-L006
AC00077,P012,L026,2026-01-31 07:35:23,denied,Rear Gate,RDR-L026
AC00078,P012,L018,2026-01-10 09:50:42,granted,Parking Gate,RDR-L018
AC00079,P013,L026,2026-01-16 13:25:14,granted,Parking Gate,RDR-L026
AC00080,P013,L002,2025-11-24 19:25:23,granted,Server Room Door,RDR-L002
AC00081,P013,L010,2025-10-26 08:30:35,granted,Main Entrance,RDR-L010
AC00082,P013,L006,2025-09-14 20:00:31,granted,Server Room Door,RDR-L006
AC00083,P013,L010,2026-02-23 21:40:19,granted,Parking Gate,RDR-L010
AC00084,P013,L026,2025-10-01 09:30:52,granted,Server Room Door,RDR-L026
AC00085,P013,L014,2025-10-14 14:55:21,granted,Main Entrance,RDR-L014
AC00086,P013,L014,2025-09-16 16:55:00,granted,Main Entrance,RDR-L014
AC00087,P014,L022,2026-02-01 09:20:57,granted,Server Room Door,RDR-L022
AC00088,P014,L010,2025-09-11 06:50:30,granted,Reception,RDR-L010
AC00089,P014,L026,2026-01-01 17:15:31,denied,Main Entrance,RDR-L026
AC00090,P014,L006,2025-11-09 19:15:14,granted,Server Room Door,RDR-L006
AC00091,P014,L022,2025-11-07 15:30:41,granted,Main Entrance,RDR-L022
AC00092,P014,L006,2026-03-05 06:15:29,granted,Rear Gate,RDR-L006
AC00093,P014,L014,2026-03-12 09:00:39,granted,Rear Gate,RDR-L014
AC00094,P015,L014,2025-10-04 23:10:06,granted,Reception,RDR-L014
AC00095,P015,L002,2026-04-07 10:20:50,granted,Reception,RDR-L002
AC00096,P015,L014,2026-01-18 13:55:23,granted,Server Room Door,RDR-L014
AC00097,P015,L011,2026-03-08 23:45:16,granted,Rear Gate,RDR-L011
AC00098,P015,L018,2026-01-21 09:55:54,granted,Rear Gate,RDR-L018
AC00099,P015,L026,2025-11-12 17:10:28,granted,Main Entrance,RDR-L026
AC00100,P015,L014,2026-02-18 13:20:51,granted,Rear Gate,RDR-L014
AC00101,P015,L011,2026-01-22 18:25:50,granted,Parking Gate,RDR-L011
AC00102,P015,L014,2025-12-12 10:45:27,granted,Rear Gate,RDR-L014
AC00103,P016,L026,2026-02-15 13:00:12,granted,Main Entrance,RDR-L026
AC00104,P016,L018,2026-02-03 19:35:35,granted,Reception,RDR-L018
AC00105,P016,L014,2026-03-05 14:55:52,granted,Server Room Door,RDR-L014
AC00106,P016,L026,2026-03-31 13:40:02,granted,Parking Gate,RDR-L026
AC00107,P016,L014,2025-11-22 07:05:55,granted,Rear Gate,RDR-L014
AC00108,P016,L018,2026-03-25 20:05:38,granted,Server Room Door,RDR-L018
AC00109,P017,L010,2026-02-05 10:45:04,granted,Main Entrance,RDR-L010
AC00110,P017,L010,2026-01-22 19:30:09,granted,Reception,RDR-L010
AC00111,P017,L006,2025-10-07 06:05:37,denied,Reception,RDR-L006
AC00112,P017,L010,2025-09-18 19:10:03,granted,Parking Gate,RDR-L010
AC00113,P017,L014,2025-11-12 22:40:31,granted,Reception,RDR-L014
AC00114,P017,L014,2026-02-12 06:05:58,granted,Parking Gate,RDR-L014
AC00115,P017,L018,2025-12-11 14:00:00,granted,Rear Gate,RDR-L018
AC00116,P018,L011,2026-01-21 15:00:42,granted,Main Entrance,RDR-L011
AC00117,P018,L026,2026-03-07 23:15:44,granted,Parking Gate,RDR-L026
AC00118,P018,L011,2025-12-21 07:20:55,granted,Rear Gate,RDR-L011
AC00119,P018,L022,2025-10-18 18:15:46,granted,Parking Gate,RDR-L022
AC00120,P018,L014,2025-09-28 17:55:13,granted,Reception,RDR-L014
AC00121,P018,L011,2025-12-30 17:00:03,granted,Rear Gate,RDR-L011
AC00122,P018,L014,2026-04-10 23:15:33,granted,Reception,RDR-L014
AC00123,P019,L010,2025-12-29 17:50:04,granted,Rear Gate,RDR-L010
AC00124,P019,L014,2026-04-02 12:50:49,granted,Server Room Door,RDR-L014
AC00125,P019,L010,2026-03-30 21:05:50,granted,Reception,RDR-L010
AC00126,P019,L026,2025-09-13 21:20:41,granted,Server Room Door,RDR-L026
AC00127,P019,L002,2025-10-11 18:15:46,granted,Reception,RDR-L002
AC00128,P019,L026,2025-09-27 11:30:56,granted,Main Entrance,RDR-L026
AC00129,P019,L014,2026-04-14 18:40:17,granted,Server Room Door,RDR-L014
AC00130,P019,L010,2026-02-08 12:15:41,granted,Parking Gate,RDR-L010
AC00131,P020,L026,2026-03-25 06:40:12,granted,Main Entrance,RDR-L026
AC00132,P020,L011,2025-12-11 20:50:35,granted,Main Entrance,RDR-L011
AC00133,P020,L006,2026-02-01 19:55:31,granted,Rear Gate,RDR-L006
AC00134,P020,L014,2026-02-10 10:20:09,granted,Main Entrance,RDR-L014
AC00135,P020,L002,2026-01-20 20:55:07,granted,Main Entrance,RDR-L002
AC00136,P020,L010,2025-11-02 08:25:48,denied,Main Entrance,RDR-L010
AC00137,P020,L026,2026-01-17 16:20:21,granted,Rear Gate,RDR-L026
AC00138,P020,L026,2026-01-21 15:15:17,granted,Reception,RDR-L026
AC00139,P020,L002,2026-03-27 13:50:50,granted,Reception,RDR-L002
AC00140,P021,L006,2025-09-25 20:10:07,granted,Server Room Door,RDR-L006
AC00141,P021,L010,2026-03-21 10:15:01,granted,Parking Gate,RDR-L010
AC00142,P021,L011,2025-09-18 12:35:46,granted,Rear Gate,RDR-L011
AC00143,P022,L026,2025-10-21 11:10:13,denied,Rear Gate,RDR-L026
AC00144,P022,L014,2025-11-21 20:50:45,denied,Main Entrance,RDR-L014
AC00145,P022,L022,2026-04-02 23:50:42,granted,Server Room Door,RDR-L022
AC00146,P022,L011,2026-04-09 15:55:02,granted,Rear Gate,RDR-L011
AC00147,P022,L011,2026-03-30 22:20:22,granted,Server Room Door,RDR-L011
AC00148,P022,L002,2025-10-17 12:25:03,granted,Main Entrance,RDR-L002
AC00149,P023,L002,2026-03-01 19:30:18,granted,Rear Gate,RDR-L002
AC00150,P023,L011,2026-04-01 23:45:56,granted,Server Room Door,RDR-L011
AC00151,P023,L011,2025-12-04 10:45:09,granted,Server Room Door,RDR-L011
AC00152,P023,L011,2026-04-25 07:55:09,granted,Rear Gate,RDR-L011
AC00153,P023,L026,2026-01-27 07:05:40,granted,Server Room Door,RDR-L026
AC00154,P023,L022,2025-11-23 06:30:12,granted,Server Room Door,RDR-L022
AC00155,P023,L002,2025-09-25 07:15:50,granted,Rear Gate,RDR-L002
AC00156,P024,L022,2026-01-23 13:45:18,granted,Reception,RDR-L022
AC00157,P024,L022,2025-10-08 15:55:43,granted,Rear Gate,RDR-L022
AC00158,P024,L002,2025-09-15 10:25:41,granted,Reception,RDR-L002
AC00159,P024,L018,2026-01-22 18:40:17,granted,Parking Gate,RDR-L018
AC00160,P024,L011,2025-11-18 11:10:02,granted,Parking Gate,RDR-L011
AC00161,P024,L010,2026-01-06 18:10:49,granted,Server Room Door,RDR-L010
AC00162,P024,L010,2026-03-26 22:55:05,granted,Parking Gate,RDR-L010
AC00163,P025,L014,2026-01-19 11:00:33,granted,Parking Gate,RDR-L014
AC00164,P025,L010,2025-09-12 23:20:23,granted,Main Entrance,RDR-L010
AC00165,P025,L022,2026-02-19 12:50:00,granted,Main Entrance,RDR-L022
AC00166,P025,L002,2025-12-17 14:25:54,granted,Parking Gate,RDR-L002
AC00167,P025,L022,2026-02-13 15:10:50,granted,Main Entrance,RDR-L022
AC00168,P025,L014,2026-02-13 09:55:21,granted,Reception,RDR-L014
AC00169,P025,L022,2026-01-05 19:00:35,granted,Main Entrance,RDR-L022
AC00170,P025,L006,2026-01-12 12:50:21,granted,Server Room Door,RDR-L006
AC00171,P026,L011,2025-09-21 23:35:53,granted,Main Entrance,RDR-L011
AC00172,P026,L002,2025-12-23 15:00:09,granted,Parking Gate,RDR-L002
AC00173,P026,L022,2025-11-08 12:35:07,granted,Main Entrance,RDR-L022
AC00174,P027,L026,2026-03-21 07:20:46,granted,Server Room Door,RDR-L026
AC00175,P027,L018,2026-02-08 22:00:02,granted,Main Entrance,RDR-L018
AC00176,P027,L014,2026-01-11 07:35:39,granted,Reception,RDR-L014
AC00177,P027,L014,2025-10-27 06:25:06,granted,Rear Gate,RDR-L014
AC00178,P027,L010,2026-02-26 06:45:40,granted,Parking Gate,RDR-L010
AC00179,P027,L014,2025-12-21 10:15:10,granted,Rear Gate,RDR-L014
AC00180,P027,L022,2026-01-16 18:30:53,granted,Reception,RDR-L022
AC00181,P027,L022,2025-11-22 21:55:51,granted,Main Entrance,RDR-L022
AC00182,P027,L014,2026-04-05 16:35:45,granted,Rear Gate,RDR-L014
AC00183,P028,L014,2025-11-28 19:05:59,granted,Reception,RDR-L014
AC00184,P028,L018,2026-02-22 15:25:17,granted,Rear Gate,RDR-L018
AC00185,P028,L002,2025-12-13 07:15:46,granted,Server Room Door,RDR-L002
AC00186,P028,L026,2025-12-13 08:45:24,granted,Reception,RDR-L026
AC00187,P028,L002,2026-03-24 08:00:00,granted,Main Entrance,RDR-L002
AC00188,P028,L010,2025-09-30 08:15:12,granted,Main Entrance,RDR-L010
AC00189,P028,L022,2026-03-09 19:05:13,granted,Rear Gate,RDR-L022
AC00190,P028,L002,2026-01-17 12:50:03,granted,Rear Gate,RDR-L002
AC00191,P029,L011,2025-12-10 10:00:34,granted,Server Room Door,RDR-L011
AC00192,P029,L022,2026-01-29 06:35:32,denied,Rear Gate,RDR-L022
AC00193,P029,L002,2025-10-12 07:40:37,granted,Main Entrance,RDR-L002
AC00194,P030,L014,2025-09-30 14:55:22,denied,Parking Gate,RDR-L014
AC00195,P030,L026,2026-03-05 19:25:07,granted,Main Entrance,RDR-L026
AC00196,P030,L002,2025-09-10 12:15:54,granted,Rear Gate,RDR-L002
AC00197,P030,L014,2025-09-23 20:20:25,granted,Parking Gate,RDR-L014
AC00198,P030,L022,2025-12-22 11:00:08,granted,Server Room Door,RDR-L022
AC00199,P030,L026,2026-01-14 17:00:51,granted,Main Entrance,RDR-L026
AC00200,P030,L002,2025-11-05 12:15:46,granted,Rear Gate,RDR-L002
AC00201,P031,L006,2026-04-15 16:30:19,granted,Main Entrance,RDR-L006
AC00202,P031,L018,2026-01-18 21:30:43,granted,Parking Gate,RDR-L018
AC00203,P031,L018,2025-10-10 18:20:00,granted,Server Room Door,RDR-L018
AC00204,P031,L002,2025-10-06 07:55:43,granted,Rear Gate,RDR-L002
AC00205,P031,L011,2026-01-13 15:00:59,granted,Server Room Door,RDR-L011
AC00206,P031,L022,2026-03-12 19:00:28,granted,Main Entrance,RDR-L022
AC00207,P031,L014,2025-09-11 11:55:48,granted,Server Room Door,RDR-L014
AC00208,P031,L022,2026-02-09 15:55:54,granted,Server Room Door,RDR-L022
AC00209,P032,L006,2026-04-02 09:05:48,granted,Server Room Door,RDR-L006
AC00210,P032,L026,2025-11-24 15:25:49,granted,Reception,RDR-L026
AC00211,P032,L026,2025-11-30 14:30:23,granted,Main Entrance,RDR-L026
AC00212,P032,L006,2025-11-06 11:30:36,granted,Server Room Door,RDR-L006
AC00213,P032,L014,2026-02-15 15:45:31,granted,Rear Gate,RDR-L014
AC00214,P032,L014,2026-02-17 23:25:23,granted,Rear Gate,RDR-L014
AC00215,P033,L022,2026-03-12 11:05:16,granted,Server Room Door,RDR-L022
AC00216,P033,L022,2026-02-02 16:20:42,granted,Reception,RDR-L022
AC00217,P033,L011,2025-11-17 17:25:45,granted,Server Room Door,RDR-L011
